ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000104852	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000166037	ENSG00000136997	0.52	PPI	undirected	PIA
ENSG00000198900	ENSG00000136997	0.56	PPI	undirected	PIA
ENSG00000087074	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000067369	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000109790	ENSG00000136997	0.40	PPI	undirected	PIA
ENSG00000160014	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000143933	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000152377	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000106278	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000198668	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000204334	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000171951	ENSG00000232810	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000211895	0.35	PPI	undirected	PIA
ENSG00000159363	ENSG00000108821	0.37	PPI	undirected	PIA
ENSG00000188906	ENSG00000160789	0.35	PPI	undirected	PIA
ENSG00000188342	ENSG00000091513	0.40	PPI	undirected	PIA
ENSG00000205155	ENSG00000087086	0.51	PPI	undirected	PIA
ENSG00000205155	ENSG00000087086	0.51	PPI	undirected	PIA
ENSG00000205155	ENSG00000087086	0.51	PPI	undirected	PIA
ENSG00000151967	ENSG00000167996	0.40	PPI	undirected	PIA
ENSG00000125952	ENSG00000167996	0.52	PPI	undirected	PIA
ENSG00000142192	ENSG00000171867	0.40	PPI	undirected	PIA
ENSG00000142192	ENSG00000171867	0.56	PPI	undirected	PIA
ENSG00000142192	ENSG00000171867	0.64	PPI	undirected	PIA
ENSG00000172775	ENSG00000112096	0.40	PPI	undirected	PIA
ENSG00000080503	ENSG00000112096	0.40	PPI	undirected	PIA
ENSG00000185222	ENSG00000112096	0.40	PPI	undirected	PIA
ENSG00000116731	ENSG00000112096	0.40	PPI	undirected	PIA
ENSG00000173230	ENSG00000112096	0.40	PPI	undirected	PIA
ENSG00000185624	ENSG00000112096	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000104833	0.57	PPI	undirected	PIA
ENSG00000188906	ENSG00000104833	0.57	PPI	undirected	PIA
ENSG00000188906	ENSG00000141510	0.35	PPI	undirected	PIA
ENSG00000145362	ENSG00000141510	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000106211	0.35	PPI	undirected	PIA
ENSG00000188342	ENSG00000163399	0.40	PPI	undirected	PIA
ENSG00000175387	ENSG00000163399	0.40	PPI	undirected	PIA
ENSG00000113580	ENSG00000143153	0.40	PPI	undirected	PIA
ENSG00000175387	ENSG00000089199	0.40	PPI	undirected	PIA
ENSG00000154237	ENSG00000089199	0.44	PPI	undirected	PIA
