ensg1	ensg2	score	interaction
ENSG00000100109	ENSG00000168243	0.56	PPI
ENSG00000130307	ENSG00000168243	0.56	PPI
ENSG00000165280	ENSG00000130939	0.52	PPI
ENSG00000070831	ENSG00000066933	0.55	PPI
ENSG00000087338	ENSG00000221963	0.56	PPI
ENSG00000187766	ENSG00000221963	0.56	PPI
ENSG00000103043	ENSG00000113575	0.56	PPI
ENSG00000166323	ENSG00000198668	0.56	PPI
ENSG00000166323	ENSG00000143933	0.56	PPI
ENSG00000166323	ENSG00000160014	0.56	PPI
ENSG00000062725	ENSG00000198668	0.56	PPI
ENSG00000062725	ENSG00000143933	0.56	PPI
ENSG00000062725	ENSG00000160014	0.56	PPI
ENSG00000130518	ENSG00000198668	0.56	PPI
ENSG00000130518	ENSG00000143933	0.56	PPI
ENSG00000130518	ENSG00000160014	0.56	PPI
ENSG00000151388	ENSG00000198668	0.56	PPI
ENSG00000151388	ENSG00000143933	0.56	PPI
ENSG00000151388	ENSG00000160014	0.56	PPI
ENSG00000106012	ENSG00000198668	0.56	PPI
ENSG00000106012	ENSG00000143933	0.56	PPI
ENSG00000106012	ENSG00000160014	0.56	PPI
ENSG00000184702	ENSG00000186522	0.56	PPI
ENSG00000113595	ENSG00000204344	0.56	PPI
ENSG00000134107	ENSG00000204344	0.56	PPI
ENSG00000034713	ENSG00000131374	0.56	PPI
ENSG00000175376	ENSG00000131374	0.56	PPI
ENSG00000111237	ENSG00000131374	0.56	PPI
ENSG00000139112	ENSG00000131374	0.56	PPI
ENSG00000163932	ENSG00000008517	0.46	PPI
ENSG00000173207	ENSG00000196843	0.56	PPI
ENSG00000183283	ENSG00000196843	0.56	PPI
ENSG00000112559	ENSG00000196843	0.56	PPI
ENSG00000212933	ENSG00000196843	0.56	PPI
ENSG00000134532	ENSG00000196843	0.56	PPI
ENSG00000173406	ENSG00000196843	0.56	PPI
ENSG00000176903	ENSG00000196843	0.56	PPI
ENSG00000204889	ENSG00000196843	0.56	PPI
ENSG00000131721	ENSG00000196843	0.56	PPI
ENSG00000157110	ENSG00000196843	0.56	PPI
ENSG00000221864	ENSG00000196843	0.56	PPI
ENSG00000181026	ENSG00000127837	0.56	PPI
ENSG00000223501	ENSG00000127837	0.56	PPI
ENSG00000134107	ENSG00000127837	0.56	PPI
ENSG00000133794	ENSG00000100644	0.56	PPI
ENSG00000167110	ENSG00000137310	0.56	PPI
ENSG00000103043	ENSG00000239704	0.56	PPI
ENSG00000125775	ENSG00000205937	0.56	PPI
ENSG00000176444	ENSG00000205937	0.56	PPI
ENSG00000146063	ENSG00000205937	0.56	PPI
ENSG00000168517	ENSG00000205937	0.56	PPI
ENSG00000135250	ENSG00000205937	0.56	PPI
ENSG00000142528	ENSG00000205937	0.56	PPI
ENSG00000198081	ENSG00000205937	0.56	PPI
ENSG00000234602	ENSG00000234602	0.54	PPI
ENSG00000221837	ENSG00000196565	0.56	PPI
ENSG00000152684	ENSG00000112339	0.56	PPI
ENSG00000204713	ENSG00000171497	0.56	PPI
ENSG00000177138	ENSG00000136143	0.56	PPI
ENSG00000166091	ENSG00000136143	0.56	PPI
ENSG00000177674	ENSG00000136143	0.56	PPI
ENSG00000170540	ENSG00000136143	0.56	PPI
ENSG00000147162	ENSG00000168769	0.56	PPI
ENSG00000076604	ENSG00000214967	0.56	PPI
ENSG00000147421	ENSG00000214967	0.56	PPI
ENSG00000065491	ENSG00000165325	0.56	PPI
ENSG00000100916	ENSG00000165325	0.56	PPI
ENSG00000084652	ENSG00000165325	0.56	PPI
ENSG00000168395	ENSG00000165325	0.56	PPI
ENSG00000164949	ENSG00000165325	0.56	PPI
ENSG00000165325	ENSG00000165325	0.56	PPI
ENSG00000128185	ENSG00000165325	0.56	PPI
ENSG00000171346	ENSG00000165325	0.56	PPI
ENSG00000109083	ENSG00000165325	0.56	PPI
ENSG00000167110	ENSG00000165325	0.56	PPI
