ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000142192	ENSG00000109971	0.35	PPI	undirected	ADIA
ENSG00000159363	ENSG00000109971	0.51	PPI	undirected	ADIA
ENSG00000164867	ENSG00000114491	0.37	PPI	undirected	ADIA
ENSG00000105401	ENSG00000138109	0.37	PPI	undirected	ADIA
ENSG00000105514	ENSG00000138109	0.37	PPI	undirected	ADIA
ENSG00000105613	ENSG00000138109	0.37	PPI	undirected	ADIA
ENSG00000080815	ENSG00000072110	0.37	PPI	undirected	ADIA
ENSG00000159363	ENSG00000108622	0.37	PPI	undirected	ADIA
ENSG00000082701	ENSG00000104812	0.62	PPI	undirected	ADIA
ENSG00000082701	ENSG00000104812	0.62	PPI	undirected	ADIA
ENSG00000142192	ENSG00000131095	0.35	PPI	undirected	ADIA
ENSG00000080815	ENSG00000173801	0.62	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000080815	ENSG00000173801	0.62	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000080815	ENSG00000173801	0.62	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000148737	ENSG00000173801	0.60	PPI	undirected	ADIA
ENSG00000142192	ENSG00000171314	0.35	PPI	undirected	ADIA
ENSG00000107282	ENSG00000175582	0.63	PPI	undirected	ADIA
ENSG00000107282	ENSG00000175582	0.63	PPI	undirected	ADIA
ENSG00000142192	ENSG00000196712	0.51	PPI	undirected	ADIA
ENSG00000142192	ENSG00000196712	0.51	PPI	undirected	ADIA
ENSG00000142192	ENSG00000196712	0.51	PPI	undirected	ADIA
ENSG00000142192	ENSG00000198959	0.44	PPI	undirected	ADIA
ENSG00000182871	ENSG00000198959	0.44	PPI	undirected	ADIA
ENSG00000080815	ENSG00000172757	0.37	PPI	undirected	ADIA
ENSG00000143801	ENSG00000132002	0.37	PPI	undirected	ADIA
ENSG00000130159	ENSG00000132002	0.37	PPI	undirected	ADIA
ENSG00000138115	ENSG00000132002	0.37	PPI	undirected	ADIA
ENSG00000105401	ENSG00000132002	0.55	PPI	undirected	ADIA
ENSG00000159363	ENSG00000164128	0.37	PPI	undirected	ADIA
ENSG00000186868	ENSG00000075413	0.40	PPI	undirected	ADIA
ENSG00000186868	ENSG00000075413	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000179218	0.56	PPI	undirected	ADIA
ENSG00000167755	ENSG00000188153	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000167004	0.50	PPI	undirected	ADIA
ENSG00000142192	ENSG00000167004	0.50	PPI	undirected	ADIA
ENSG00000105613	ENSG00000167815	0.37	PPI	undirected	ADIA
ENSG00000130159	ENSG00000167815	0.37	PPI	undirected	ADIA
ENSG00000105401	ENSG00000167815	0.37	PPI	undirected	ADIA
ENSG00000152778	ENSG00000167815	0.37	PPI	undirected	ADIA
ENSG00000168539	ENSG00000141480	0.35	PPI	undirected	ADIA
ENSG00000137486	ENSG00000141480	0.67	PPI	undirected	ADIA
ENSG00000141480	ENSG00000141480	0.53	PPI	undirected	ADIA
ENSG00000125384	ENSG00000141480	0.35	PPI	undirected	ADIA
ENSG00000181773	ENSG00000141480	0.35	PPI	undirected	ADIA
ENSG00000137486	ENSG00000141480	0.67	PPI	undirected	ADIA
ENSG00000175899	ENSG00000108242	0.37	PPI	undirected	ADIA
ENSG00000130159	ENSG00000108242	0.37	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000080815	ENSG00000168036	0.52	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000148737	ENSG00000168036	0.97	PPI	undirected	ADIA
ENSG00000142192	ENSG00000100345	0.35	PPI	undirected	ADIA
ENSG00000164867	ENSG00000077522	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000175344	0.46	PPI	undirected	ADIA
ENSG00000142192	ENSG00000175344	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000175344	0.46	PPI	undirected	ADIA
ENSG00000175899	ENSG00000196365	0.37	PPI	undirected	ADIA
ENSG00000138131	ENSG00000196365	0.37	PPI	undirected	ADIA
