ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000108953	ENSG00000058091	0.51	PPI	undirected	SIA
ENSG00000166913	ENSG00000058091	0.58	PPI	undirected	SIA
ENSG00000166913	ENSG00000058091	0.58	PPI	undirected	SIA
ENSG00000128245	ENSG00000058091	0.51	PPI	undirected	SIA
ENSG00000177885	ENSG00000173210	0.35	PPI	undirected	SIA
ENSG00000007047	ENSG00000149639	0.35	PPI	undirected	SIA
ENSG00000161203	ENSG00000183020	0.53	PPI	undirected	SIA
ENSG00000085832	ENSG00000183020	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000183020	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000183020	0.53	PPI	undirected	SIA
ENSG00000143379	ENSG00000171603	0.37	PPI	undirected	SIA
ENSG00000153827	ENSG00000171603	0.37	PPI	undirected	SIA
ENSG00000160294	ENSG00000171603	0.37	PPI	undirected	SIA
ENSG00000065613	ENSG00000171603	0.37	PPI	undirected	SIA
ENSG00000001626	ENSG00000105289	0.35	PPI	undirected	SIA
ENSG00000105085	ENSG00000104517	0.35	PPI	undirected	SIA
ENSG00000141480	ENSG00000104517	0.35	PPI	undirected	SIA
ENSG00000156603	ENSG00000104517	0.35	PPI	undirected	SIA
ENSG00000160691	ENSG00000070061	0.35	PPI	undirected	SIA
ENSG00000082556	ENSG00000170296	0.37	PPI	undirected	SIA
ENSG00000137486	ENSG00000132485	0.64	PPI	undirected	SIA
ENSG00000141480	ENSG00000132485	0.50	PPI	undirected	SIA
ENSG00000137486	ENSG00000132485	0.64	PPI	undirected	SIA
ENSG00000137486	ENSG00000132485	0.64	PPI	undirected	SIA
ENSG00000141480	ENSG00000132485	0.50	PPI	undirected	SIA
ENSG00000137486	ENSG00000132485	0.64	PPI	undirected	SIA
ENSG00000001626	ENSG00000114520	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000114520	0.35	PPI	undirected	SIA
ENSG00000001626	ENSG00000114520	0.35	PPI	undirected	SIA
ENSG00000063322	ENSG00000108848	0.35	PPI	undirected	SIA
ENSG00000156603	ENSG00000108848	0.35	PPI	undirected	SIA
ENSG00000142082	ENSG00000100241	0.40	PPI	undirected	SIA
ENSG00000168412	ENSG00000124164	0.35	PPI	undirected	SIA
ENSG00000147650	ENSG00000143553	0.37	PPI	undirected	SIA
