ensg1	ensg2
ENSG00000054277	ENSG00000134343
ENSG00000054277	ENSG00000144834
ENSG00000054277	ENSG00000145934
ENSG00000054277	ENSG00000147416
ENSG00000054277	ENSG00000150086
ENSG00000054277	ENSG00000153558
ENSG00000054277	ENSG00000154277
ENSG00000054277	ENSG00000157152
ENSG00000054277	ENSG00000159720
ENSG00000054277	ENSG00000164885
ENSG00000054277	ENSG00000165973
ENSG00000054277	ENSG00000166111
ENSG00000054277	ENSG00000166257
ENSG00000054277	ENSG00000166913
ENSG00000054277	ENSG00000169032
ENSG00000054277	ENSG00000170027
ENSG00000054277	ENSG00000171617
ENSG00000054277	ENSG00000174871
ENSG00000054277	ENSG00000175874
ENSG00000054277	ENSG00000176871
ENSG00000054277	ENSG00000183023
ENSG00000054277	ENSG00000183454
ENSG00000054277	ENSG00000185883
ENSG00000054277	ENSG00000186642
ENSG00000054277	ENSG00000187446
ENSG00000054277	ENSG00000196876
ENSG00000054277	ENSG00000197872
ENSG00000054277	ENSG00000198216
ENSG00000054277	ENSG00000221890
ENSG00000054690	ENSG00000150656
ENSG00000054803	ENSG00000116741
ENSG00000055163	ENSG00000067992
ENSG00000055163	ENSG00000069712
ENSG00000055163	ENSG00000074590
ENSG00000055163	ENSG00000081803
ENSG00000055163	ENSG00000084444
ENSG00000055163	ENSG00000104361
ENSG00000055163	ENSG00000106367
ENSG00000055163	ENSG00000107679
ENSG00000055163	ENSG00000113327
ENSG00000055163	ENSG00000114279
ENSG00000055163	ENSG00000114948
ENSG00000055163	ENSG00000118733
ENSG00000055163	ENSG00000118816
ENSG00000055163	ENSG00000123119
ENSG00000055163	ENSG00000124785
ENSG00000055163	ENSG00000131773
ENSG00000055163	ENSG00000136928
ENSG00000055163	ENSG00000138134
ENSG00000055163	ENSG00000138378
ENSG00000055163	ENSG00000144285
ENSG00000055163	ENSG00000146352
ENSG00000055163	ENSG00000149927
ENSG00000055163	ENSG00000151025
ENSG00000055163	ENSG00000151729
ENSG00000055163	ENSG00000153558
ENSG00000055163	ENSG00000154917
ENSG00000055163	ENSG00000156486
ENSG00000055163	ENSG00000157214
ENSG00000055163	ENSG00000164794
ENSG00000055163	ENSG00000164830
ENSG00000055163	ENSG00000164951
ENSG00000055163	ENSG00000165209
ENSG00000055163	ENSG00000165795
ENSG00000055163	ENSG00000166006
ENSG00000055163	ENSG00000169933
ENSG00000055163	ENSG00000172348
ENSG00000055163	ENSG00000176928
ENSG00000055163	ENSG00000177301
ENSG00000055163	ENSG00000182621
ENSG00000055163	ENSG00000183715
ENSG00000055163	ENSG00000183807
ENSG00000055163	ENSG00000196542
ENSG00000055163	ENSG00000196950
ENSG00000055163	ENSG00000198626
ENSG00000055163	ENSG00000198739
ENSG00000055163	ENSG00000198963
ENSG00000055163	ENSG00000213190
ENSG00000055163	ENSG00000259494
ENSG00000056736	ENSG00000184270
ENSG00000057294	ENSG00000110092
ENSG00000058404	ENSG00000183807
ENSG00000058668	ENSG00000068078
ENSG00000058668	ENSG00000075461
ENSG00000058668	ENSG00000104635
ENSG00000058668	ENSG00000138135
ENSG00000058668	ENSG00000144230
ENSG00000058668	ENSG00000153993
ENSG00000058668	ENSG00000165795
ENSG00000059377	ENSG00000094916
ENSG00000059377	ENSG00000102760
ENSG00000059377	ENSG00000108679
ENSG00000061918	ENSG00000133083
ENSG00000065325	ENSG00000198216
ENSG00000065609	ENSG00000070808
ENSG00000065911	ENSG00000149968
ENSG00000066294	ENSG00000094916
ENSG00000066322	ENSG00000136867
ENSG00000066322	ENSG00000169247
ENSG00000067191	ENSG00000123119
ENSG00000067646	ENSG00000129824
ENSG00000067646	ENSG00000198692
ENSG00000067646	ENSG00000205358
ENSG00000067646	ENSG00000239309
ENSG00000067842	ENSG00000104361
ENSG00000067842	ENSG00000117069
ENSG00000067992	ENSG00000101079
ENSG00000067992	ENSG00000105223
ENSG00000067992	ENSG00000112186
ENSG00000067992	ENSG00000117069
ENSG00000067992	ENSG00000134343
ENSG00000067992	ENSG00000146267
ENSG00000067992	ENSG00000150086
ENSG00000067992	ENSG00000152495
ENSG00000067992	ENSG00000153956
ENSG00000067992	ENSG00000154917
ENSG00000067992	ENSG00000155097
ENSG00000067992	ENSG00000157152
ENSG00000067992	ENSG00000159720
ENSG00000067992	ENSG00000164885
ENSG00000067992	ENSG00000166111
ENSG00000067992	ENSG00000166206
ENSG00000067992	ENSG00000166257
ENSG00000067992	ENSG00000174482
ENSG00000067992	ENSG00000185008
ENSG00000067992	ENSG00000198739
ENSG00000068078	ENSG00000069424
ENSG00000068078	ENSG00000083720
ENSG00000068078	ENSG00000100027
ENSG00000068078	ENSG00000100167
ENSG00000068078	ENSG00000102879
ENSG00000068078	ENSG00000104888
ENSG00000068078	ENSG00000105223
ENSG00000068078	ENSG00000106367
ENSG00000068078	ENSG00000108309
ENSG00000068078	ENSG00000112186
ENSG00000068078	ENSG00000117598
ENSG00000068078	ENSG00000117600
ENSG00000068078	ENSG00000119125
ENSG00000068078	ENSG00000125814
ENSG00000068078	ENSG00000125841
ENSG00000068078	ENSG00000126583
ENSG00000068078	ENSG00000127922
ENSG00000068078	ENSG00000132434
ENSG00000068078	ENSG00000134121
ENSG00000068078	ENSG00000134343
ENSG00000068078	ENSG00000141232
ENSG00000068078	ENSG00000145242
ENSG00000068078	ENSG00000150086
ENSG00000068078	ENSG00000153233
ENSG00000068078	ENSG00000153956
ENSG00000068078	ENSG00000154975
ENSG00000068078	ENSG00000155511
ENSG00000068078	ENSG00000157152
ENSG00000068078	ENSG00000159720
ENSG00000068078	ENSG00000164076
ENSG00000068078	ENSG00000164600
ENSG00000068078	ENSG00000164885
ENSG00000068078	ENSG00000165973
ENSG00000068078	ENSG00000166111
ENSG00000068078	ENSG00000166206
ENSG00000068078	ENSG00000166257
ENSG00000068078	ENSG00000169032
ENSG00000068078	ENSG00000169035
ENSG00000068078	ENSG00000169085
ENSG00000068078	ENSG00000171246
ENSG00000068078	ENSG00000174871
ENSG00000068078	ENSG00000176871
ENSG00000068078	ENSG00000185008
ENSG00000068078	ENSG00000186297
ENSG00000068078	ENSG00000186642
ENSG00000068078	ENSG00000187446
ENSG00000068078	ENSG00000197872
ENSG00000068078	ENSG00000198216
ENSG00000068078	ENSG00000206052
ENSG00000068078	ENSG00000221890
ENSG00000068976	ENSG00000084207
ENSG00000068976	ENSG00000087086
ENSG00000068976	ENSG00000100234
ENSG00000068976	ENSG00000104324
ENSG00000068976	ENSG00000105974
ENSG00000068976	ENSG00000108309
ENSG00000068976	ENSG00000110427
ENSG00000068976	ENSG00000113140
ENSG00000068976	ENSG00000113732
ENSG00000068976	ENSG00000117592
ENSG00000068976	ENSG00000118515
ENSG00000068976	ENSG00000119655
ENSG00000068976	ENSG00000125968
ENSG00000068976	ENSG00000127951
ENSG00000068976	ENSG00000135046
ENSG00000068976	ENSG00000135838
