"","Gene1","Gene2","Int.Alz.PPI.d.","Int.Alz.PPI.j.","Int.all.PPI.d.","Int.all.PPI.j.","CoExp.d.","CoExp.j.","Int.syn.d.","Int.syn.j.","Int.Par.PPI.d.","Int.Par.PPI.j.","Dif.Co.d.","Dif.Co.j.","Alz.ptw.1","Alz.ptw.2","Alz.DISEASES.1","Alz.DISEASES.2"
"146","ENSG00000142192","ENSG00000138449",1,0.0263157894736842,1,0.0714285714285714,0,0,0,0,0,0,0,0,"True","False","True","False"
"147","ENSG00000142192","ENSG00000154277",1,0.0266666666666667,0.333333333333333,0,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","True"
"148","ENSG00000142192","ENSG00000105290",1,0.0789473684210526,0.25,0,0,0,0.333333333333333,0,0.5,0.0555555555555556,0,0,"True","False","True","True"
"149","ENSG00000142192","ENSG00000118137",1,0.0266666666666667,1,0.0625,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"150","ENSG00000142192","ENSG00000121653",1,0.0266666666666667,1,0.0645161290322581,0,0,1,0.0416666666666667,0,0,0,0,"True","False","True","False"
"151","ENSG00000142192","ENSG00000080815",1,0.0520833333333333,1,0.0731707317073171,0,0,1,0.037037037037037,0.166666666666667,0,0,0,"True","True","True","True"
"152","ENSG00000142192","ENSG00000167004",1,0.0266666666666667,1,0.0625,0,0,1,0.0416666666666667,0.5,0.0555555555555556,0,0,"True","False","True","False"
"154","ENSG00000142192","ENSG00000143801",1,0.0697674418604651,0.333333333333333,0,0,0,1,0.0416666666666667,0,0,0,0,"True","True","True","True"
"155","ENSG00000142192","ENSG00000136854",1,0.0266666666666667,0.25,0,0,0,1,0.0416666666666667,0.25,0,0,0,"True","False","True","False"
"156","ENSG00000142192","ENSG00000072506",1,0.0266666666666667,1,0.0689655172413793,0,0,1,0.0408163265306122,0,0,0,0,"True","True","True","True"
"157","ENSG00000142192","ENSG00000175899",1,0.0631578947368421,0,0,0,0,0,0,0,0,0,0,"True","False","True","True"
"158","ENSG00000142192","ENSG00000171867",1,0.04,1,0.09375,0,0,1,0.021505376344086,1,0.166666666666667,0,0,"True","False","True","True"
"159","ENSG00000142192","ENSG00000144619",1,0.04,0,0,0,0,0,0,0,0,0,0,"True","False","True","False"
"160","ENSG00000142192","ENSG00000138190",1,0.0493827160493827,0,0,0,0,0,0,0,0,0,0,"True","False","True","False"
